#	16677
0	0	1
0	1	-1
0	2	1
0	3	-1
0	4	-1
0	5	1
0	6	-1
0	7	-1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
2	15	1
3	16	-1
3	17	-1
3	18	-1
3	19	-1
3	20	-1
3	21	1
3	22	1
3	23	1
3	24	1
3	25	-1
3	26	-1
3	27	-1
3	28	1
3	29	1
3	30	1
5	31	1
7	32	-1
7	33	-1
7	34	-1
7	35	1
7	36	-1
7	37	-1
7	38	1
7	39	-1
7	40	1
8	7	-1
8	41	-1
8	42	-1
8	43	-1
8	44	1
8	45	1
8	46	1
8	47	1
8	48	-1
8	49	-1
8	50	1
8	51	1
9	52	1
9	53	1
11	54	1
11	55	1
11	56	-1
11	57	-1
11	58	1
11	59	1
11	60	1
11	61	-1
11	62	1
11	63	1
13	64	1
13	65	-1
13	66	1
13	67	-1
13	68	-1
13	69	1
13	70	-1
14	71	-1
14	72	-1
14	73	-1
14	74	-1
14	75	-1
14	76	1
14	77	1
14	78	1
14	79	1
14	80	1
14	81	1
14	82	1
14	83	1
15	84	1
15	85	-1
15	9	1
15	86	1
15	15	-1
15	87	-1
15	88	-1
15	89	-1
15	90	-1
15	91	1
15	92	-1
15	93	1
15	94	-1
15	95	1
15	96	1
15	97	1
15	98	1
15	99	1
15	100	1
15	101	-1
15	102	1
15	103	1
15	104	1
15	105	1
15	106	-1
15	107	-1
15	108	1
15	109	1
15	110	-1
15	111	1
15	112	1
15	113	1
15	114	1
15	115	-1
15	116	1
15	117	1
15	118	-1
15	119	1
15	120	1
15	121	1
15	122	1
15	123	-1
15	124	1
15	125	1
15	126	1
15	127	-1
15	128	-1
15	129	1
15	130	1
15	131	-1
15	132	1
15	133	1
15	134	1
15	135	-1
15	136	1
15	137	1
15	138	-1
15	139	1
15	140	1
15	141	1
15	142	1
15	143	-1
15	144	1
15	145	1
15	146	-1
15	147	1
15	148	-1
15	149	1
15	150	1
15	151	1
15	152	1
15	8	-1
15	153	1
15	154	-1
